Timestamp,CustomerID,Voltage,Current,Power,PowerFactor,EnergyConsumed,ApparentPower,PrevHourAvgPower
10/9/2025 0:00,U0018,230.66,2.98,683.71,0.994,11.4,687.78,514.85
10/9/2025 0:01,U0024,225.25,3.24,643.94,0.883,10.73,729.54,419.82
10/9/2025 0:02,U0041,227.47,4.91,1032.98,0.924,17.22,1117.54,273.22
10/9/2025 0:03,U0008,229.17,6.86,1572.72,1,26.21,1572.72,719.71
10/9/2025 0:04,U0005,230.63,3.21,724.82,0.98,12.08,739.72,293.61
10/9/2025 0:05,U0024,229.66,8.45,1936.5,0.998,43.01,1941.36,464.64
10/9/2025 0:06,U0035,226.89,6.95,1491.17,0.946,24.85,1575.94,779.38
10/9/2025 0:07,U0014,232.39,3.16,734.16,1,12.24,734.16,327.4
10/9/2025 0:08,U0042,225.86,4.88,1031.68,0.936,17.19,1102.27,497.11
10/9/2025 0:09,U0004,232.88,5.71,1249.6,0.939,20.83,1330.75,559.2
10/9/2025 0:10,U0043,234.87,5.59,1300.44,0.991,21.67,1312,220.63
10/9/2025 0:11,U0006,232.69,4.54,925.76,0.876,15.43,1056.95,293.6
10/9/2025 0:12,U0011,227.68,6.45,1368.29,0.932,22.8,1468.1,212.35
10/9/2025 0:13,U0027,229.23,4.42,1012.31,1,16.87,1012.31,319.8
10/9/2025 0:14,U0039,230.38,8.89,1817.78,0.888,30.3,2048.14,610.54
10/9/2025 0:15,U0024,229.54,5.81,1255.78,0.942,63.94,1333.19,759.01
10/9/2025 0:16,U0041,228.01,3.31,711.02,0.943,29.07,754.26,425.17
10/9/2025 0:17,U0003,227.53,3.01,614.89,0.896,10.25,685.97,639.2
10/9/2025 0:18,U0049,229.81,4.84,1075.79,0.967,17.93,1112.23,528.03
10/9/2025 0:19,U0002,229.28,7.96,1505.89,0.825,25.1,1825.19,770.43
10/9/2025 0:20,U0004,229.36,6.46,1355.6,0.916,43.42,1480.65,697.28
10/9/2025 0:21,U0034,228.14,9.38,2095.98,0.979,34.93,2140.19,769.33
10/9/2025 0:22,U0033,230.08,6.58,1347.51,0.89,22.46,1513.8,239.03
10/9/2025 0:23,U0036,231.29,4.27,938.46,0.95,15.64,987.38,685.04
10/9/2025 0:24,U0032,231.28,5.96,1140.07,0.827,19,1379.37,302.31
10/9/2025 0:25,U0050,232.78,2.54,585.35,0.991,9.76,590.86,310.91
10/9/2025 0:26,U0049,229.03,2.12,456.24,0.94,25.53,485.52,637.58
10/9/2025 0:27,U0048,233.57,5.21,1163.02,0.955,19.38,1217.27,512.04
10/9/2025 0:28,U0033,227.96,5.59,1224.53,0.962,42.87,1273.42,460.73
10/9/2025 0:29,U0046,227.86,5.95,1355.22,1,22.59,1355.22,597.51
10/9/2025 0:30,U0041,226.01,7.69,1648.13,0.949,56.54,1737.19,482.34
10/9/2025 0:31,U0033,227.8,11.12,2487.26,0.982,84.32,2533.59,613.49
10/9/2025 0:32,U0022,232.64,7.42,1618.9,0.938,26.98,1725.87,283.7
10/9/2025 0:33,U0028,231.61,5.79,1330.69,0.993,22.18,1340.74,508.54
10/9/2025 0:34,U0048,226.79,4.55,1005.86,0.974,36.15,1032.58,642.24
10/9/2025 0:35,U0024,232.14,1.11,252.95,0.98,68.15,258.04,858.37
10/9/2025 0:36,U0033,229.35,3.78,803.25,0.926,97.71,867.22,988.24
10/9/2025 0:37,U0018,227.56,5.18,1162.78,0.986,30.77,1179.89,548.63
10/9/2025 0:38,U0040,226.56,3.29,745.26,1,12.42,745.26,464.09
10/9/2025 0:39,U0040,226.92,7.11,1612.85,1,39.3,1612.85,520.33
10/9/2025 0:40,U0029,228,6.31,1245.75,0.865,20.76,1439.49,555.45
10/9/2025 0:41,U0007,225.69,5.01,1131.76,1,18.86,1131.76,234.85
10/9/2025 0:42,U0046,230.7,2.69,596.09,0.959,32.52,621.7,749.05
10/9/2025 0:43,U0023,225.5,7.4,1485.67,0.89,24.76,1669.31,375.29
10/9/2025 0:44,U0022,228.76,3.21,701.36,0.954,38.67,735.17,550.74
10/9/2025 0:45,U0044,229,6.04,1310.11,0.948,21.84,1382.54,745.59
10/9/2025 0:46,U0032,237.17,7.73,1832.56,1,49.54,1832.56,469.87
10/9/2025 0:47,U0042,232.49,3.74,870.16,1,31.7,870.16,604.02
10/9/2025 0:48,U0028,227.43,8.56,1931.79,0.992,54.37,1947.37,672.97
10/9/2025 0:49,U0001,227.97,4.31,858.07,0.873,14.3,983.39,424.72
10/9/2025 0:50,U0025,226.22,9.24,2082.64,0.996,34.71,2091.22,473.64
10/9/2025 0:51,U0012,233.1,5.46,1133.33,0.891,18.89,1272.23,781.95
10/9/2025 0:52,U0029,229.29,4.96,1137.52,1,39.72,1137.52,693.51
